bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,product/ProductName,lineItem/ResourceId,product/region,lineItem/UsageType,lineItem/UsageAmount,lineItem/UsageUnit,lineItem/UnblendedCost,lineItem/NetAmortizedCost,resourceTags/Project,resourceTags/Creator,resourceTags/ProjectID,resourceTags/ApplicationName,resourceTags/Purpose,resourceTags/OwnerService,resourceTags/Name,resourceTags/DailyStop
2024-01-01,2024-01-31,123456789012,Amazon Elastic Block Store,vol-0d404c2b972e09878,ap-southeast-1,VolumeUsage.gp2,100,GB-Mo,10.0,9.5,SGSOCR,TuND,SGSOCR,Web server,SGSOCR,DiepNN8,SGSOCR-SaaS-Web,
2024-01-01,2024-01-31,123456789012,Amazon Elastic Block Store,vol-0857ce367bcc848b0,ap-southeast-1,VolumeUsage.gp2,50,GB-Mo,5.0,4.75,KYC-SSNB,ThuTH1,QAI.akaOCR2022,akaOCR,PostgreSQL Server,DeNT,COE-akaOCR-DB-PostgreSQL,
2024-01-01,2024-01-31,123456789012,Amazon Elastic Block Store,vol-07335efa599b89ce7,ap-southeast-1,VolumeUsage.gp3,200,GB-Mo,16.0,15.2,ABDEC,NghiaBV3,Seino,akaInspection Web,Server akaInspection Web,AnhDDD,Akainspection-Scale-sis-test,
2024-01-01,2024-01-31,123456789012,AWS Lambda,minhpt7642Function,us-west-2,Request,10000,GB-Mo,5.0,4.75,,,,,,,,
2024-01-01,2024-01-31,123456789012,Amazon Elastic Compute Cloud,i-0bf93f00183d3e7f0,ap-southeast-1,BoxUsage:t2.medium,720,Hrs,50.0,47.5,KYC-SSNB,ThuTH1,QAI.akaOCR2022,akaOCR,PostgreSQL Server,DeNT,akaOCR-DB-PostgreSQL,False
2024-01-01,2024-01-31,123456789012,Amazon Elastic Compute Cloud,i-04d06bd78b75cfe3b,ap-southeast-1,BoxUsage:t2.small,720,Hrs,50.0,47.5,SGSOCR,TuND,SGSOCR,Web server,SGSOCR,DiepNN8,SGSOCR-Bastion,False
2024-01-01,2024-01-31,123456789012,Amazon Elastic Compute Cloud,i-07350153600c3b3ba,ap-southeast-1,BoxUsage:g4dn.xlarge,720,Hrs,50.0,47.5,ABDEC,NghiaBV3,Seino,akaInspection Web,Server akaInspection Web,AnhDDD,Akainspection-Scale-sis-test,
2024-01-01,2024-01-31,123456789012,Amazon Elastic Compute Cloud,i-0fa16698357c707c7,us-west-2,BoxUsage:g4dn.xlarge,720,Hrs,50.0,47.5,,,,,,,RAGFlow-Ollama,
2024-01-01,2024-01-31,123456789012,Amazon Elastic Compute Cloud,i-05ea7a5068995a703,ap-southeast-1,BoxUsage:t3.2xlarge,720,Hrs,50.0,47.5,Cus360,phutv12,CUS360CRA,Cus360-Crawler,backend server main,khoaqd1,cus360-backend-t3.2xlarge,False
2024-01-01,2024-01-31,123456789012,Amazon Elastic Block Store,vol-0aa0216d21533fa45,us-west-2,VolumeUsage.gp3,30,GB-Mo,2.4,2.28,,,,,,,,
2024-01-01,2024-01-31,123456789012,Amazon Elastic Block Store,vol-03c3299cb298fb458,ap-southeast-1,VolumeUsage.gp2,100,GB-Mo,10.0,9.5,Cus360-Crawler,phutv12,CUS360CRA,Cus360-Crawler,backend volumn,khoaqd1,volume-cus360-backend,
